Sector_score,PARA_A,Risk_A,PARA_B,Risk_B,Money_Value,Risk_D,Score,Inherent_Risk,Audit_Risk,Risk
3.89,4.18,2.508,2.5,0.5,3.38,0.676,2.4,8.574,1.7148,1
3.89,0,0,4.83,0.966,0.94,0.188,2,2.554,0.5108,0
3.89,0.51,0.102,0.23,0.046,0,0,2,1.548,0.3096,0
3.89,0,0,10.8,6.48,11.75,7.05,4.4,17.53,3.506,1
3.89,0,0,0.08,0.016,0,0,2,1.416,0.2832,0
3.89,0,0,0.83,0.166,2.95,0.59,2,2.156,0.4312,0
3.89,1.1,0.44,7.41,2.964,44.95,26.97,3.2,31.774,6.3548,1
3.89,8.5,5.1,12.03,7.218,7.79,3.116,4.2,18.034,3.6068,1
3.89,8.4,5.04,11.05,6.63,7.34,2.936,4.2,17.206,3.4412,1
3.89,3.98,2.388,0.99,0.198,1.93,0.386,2.4,4.372,0.8744,0
3.89,5.43,3.258,10.77,6.462,4.42,0.884,3.6,12.004,2.4008,1
3.89,15.38,9.228,40.14,24.084,0.96,0.192,4,35.704,21.4224,1
3.89,5.47,3.282,7.63,3.052,10.43,6.258,3.6,14.392,5.7568,1
3.89,1.09,0.436,0.35,0.07,0,0,2.2,1.906,0.3812,0
3.89,0,0,0.84,0.168,0.007,0.0014,2,1.5694,0.31388,0
3.89,1.95,0.78,9.01,3.604,9,3.6,3,9.384,1.8768,1
3.89,8.54,5.124,31.63,18.978,41.28,24.768,4.2,50.67,20.268,1
3.89,4.18,2.508,4.83,0.966,14.03,8.418,3.2,14.492,2.8984,1
3.89,1.81,0.724,1.03,0.206,0,0,2.2,2.33,0.466,0
3.89,4.86,2.916,46.78,28.068,63.18,37.908,4.4,71.492,14.2984,1
3.89,6.26,3.756,14.1,8.46,34.24,20.544,4.2,34.56,13.824,1
3.89,0.02,0.004,5.94,2.376,0.01,0.002,2.6,3.782,0.7564,0
3.89,5.31,3.186,22.79,13.674,205.19,123.114,4.2,141.774,56.7096,1
3.89,0.94,0.188,0.01,0.002,0.1,0.02,2,1.61,0.322,0
3.89,5.78,3.468,57.92,34.752,11.16,6.696,4,46.316,9.2632,1
3.89,7.42,4.452,2.24,0.448,1.25,0.25,2.4,6.55,1.31,1
3.89,0,0,1.1,0.22,0.007,0.0014,2,1.6214,0.32428,0
3.89,6.85,4.11,31.76,19.056,1.46,0.292,3.6,24.858,4.9716,1
3.89,0,0,1.03,0.206,0,0,2,1.606,0.3212,0
3.89,0,0,0.75,0.15,6.78,2.712,2.2,4.262,0.8524,0
3.89,2.4,1.44,16.63,9.978,1.16,0.232,3.6,13.05,2.61,1
3.89,0,0,0.05,0.01,152.41,91.446,2.4,92.856,18.5712,1
3.89,0,0,1.76,0.352,1.08,0.216,2,1.968,0.3936,0
3.89,0,0,2.97,0.594,2.84,0.568,2,2.562,0.5124,0
3.89,0,0,0.43,0.086,0,0,2,1.486,0.2972,0
3.89,0,0,0.94,0.188,0.9,0.18,2,1.768,0.3536,0
3.89,9.01,5.406,19.82,11.892,9.67,3.868,3.8,22.566,4.5132,1
3.89,0,0,0.05,0.01,0,0,2,1.41,0.282,0
3.89,11.95,7.17,30.9,18.54,32.68,19.608,4,46.718,9.3436,1
3.89,7.97,4.782,17.18,10.308,935.03,561.018,4,577.508,115.5016,1
3.89,0,0,3.71,0.742,29.63,17.778,2.4,19.92,3.984,1
3.89,0.62,0.124,2.02,0.404,0.11,0.022,2,1.95,0.39,0
3.89,0,0,2.27,0.454,2.62,0.524,2,2.378,0.4756,0
3.89,0,0,0,0,0,0,2,1.4,0.28,0
3.89,1.32,0.528,0,0,0.06,0.012,2.2,1.94,0.388,0
3.89,0,0,1.03,0.206,2.43,0.486,2,2.092,0.4184,0
3.89,0,0,15.38,9.228,126.13,75.678,3.6,86.306,17.2612,1
3.89,0,0,1.02,0.204,0,0,2,1.604,0.3208,0
3.89,0,0,20.71,12.426,20.79,12.474,4,27.5,22,1
3.89,2.95,1.77,6.56,2.624,156.92,94.152,3.4,99.946,19.9892,1
3.89,1.97,0.788,2.1,0.42,12.29,7.374,3,10.782,6.4692,1
3.89,0,0,18.05,10.83,2.29,0.458,3.2,12.688,2.5376,1
3.89,0,0,0.93,0.186,7.78,3.112,2.2,4.698,0.9396,0
3.89,0,0,1.61,0.322,2.51,0.502,2,2.224,0.4448,0
3.89,6.32,3.792,9.01,3.604,8.31,3.324,3.2,12.12,2.424,1
3.89,0,0,1.05,0.21,0.16,0.032,2,1.642,0.3284,0
3.89,0,0,6.8,2.72,47.9,28.74,3,32.86,6.572,1
3.89,14.04,8.424,10.83,6.498,8.91,3.564,3.8,19.886,3.9772,1
3.89,6.67,4.002,18.02,10.812,4.95,0.99,4.4,19.604,15.6832,1
3.89,0,0,0,0,1.75,0.35,2,1.75,0.35,0
